Rank,Player,Age,Nationality,Pts
1,Jannik Sinner,23,ITA,11330
2,Alexander Zverev,27,GER,8135
3,Carlos Alcaraz,21,ESP,7510
4,Taylor Fritz,27,USA,4900
5,Casper Ruud,26,NOR,4325
6,Daniil Medvedev,29,RUS,4030
7,Novak Djoković,37,SRB,3900
8,Alex de Minaur,26,AUS,3785
9,Tommy Paul,27,USA,3280
10,Andrey Rublev,27,RUS,3270
11,Stefanos Tsitsipas,26,GRE,3005
12,Holger Rune,21,DEN,2970
13,Ben Shelton,22,USA,2930
14,Ugo Humbert,26,FRA,2825
15,Jack Draper,23,GBR,2770
16,Grigor Dimitrov,33,BUL,2745
17,Lorenzo Musetti,22,ITA,2650
18,Frances Tiafoe,27,USA,2485
19,Arthur Fils,20,FRA,2355
20,Hubert Hurkacz,28,POL,2265
21,Félix Auger-Aliassime,24,CAN,2055
22,Sebastian Korda,24,USA,2000
23,Karen Khachanov,28,RUS,1960
24,Jiří Lehečka,23,CZE,1935
25,Tomáš Macháč,24,CZE,1855
26,Alexei Popyrin,25,AUS,1700
27,Alejandro Tabilo,27,CHI,1690
28,Francisco Cerúndolo,26,ARG,1675
29,Giovanni Mpetshi Perricard,21,FRA,1580
30,Matteo Berrettini,28,ITA,1520
31,Denis Shapovalov,25,CAN,1496
32,Matteo Arnaldi,23,ITA,1430
33,Alex Michelsen,20,USA,1420
34,Lorenzo Sonego,29,ITA,1401
35,Pedro Martínez,27,ESP,1385
36,Jordan Thompson,30,AUS,1375
37,Nuno Borges,28,POR,1345
38,Flavio Cobolli,22,ITA,1345
39,Gaël Monfils,38,FRA,1280
40,Brandon Nakashima,23,USA,1265
41,Tomás Martín Etcheverry,25,ARG,1240
42,Miomir Kecmanović,25,SRB,1236
43,Nicolás Jarry,29,CHI,1225
44,Jan Lennard Struff,34,GER,1200
45,Tallon Griekspoor,28,NED,1120
46,Sebastián Báez,24,ARG,1110
47,Alejandro Davidovich Fokina,25,ESP,1095
48,Zhizhen Zhang,28,CHN,1075
49,Roberto Carballés Baena,31,ESP,1071
50,Alexander Bublik,27,KAZ,1065
51,Marcos Giron,31,USA,1060
52,Roberto Bautista Agut,36,ESP,1052
53,Jakub Menšík,19,CZE,1042
54,Fábián Marozsán,25,HUN,1035
55,Zizou Bergs,25,BEL,1035
56,Jaume Munar,27,ESP,1032
57,Juncheng Shang,20,CHN,1025
58,Alexandre Müller,28,FRA,990
59,Luciano Darderi,23,ITA,985
60,Yoshihito Nishioka,29,JPN,922
61,Arthur Rinderknech,29,FRA,911
62,Benjamin Bonzi,28,FRA,910
63,David Goffin,34,BEL,906
64,Mariano Navone,23,ARG,890
65,Corentin Moutet,25,FRA,872
66,Aleksandar Vukic,28,AUS,868
67,Yunchaokete Bu,23,CHN,847
68,Mattia Bellucci,23,ITA,833
69,Hamad Medjedović,21,SRB,829
70,Roman Safiullin,27,RUS,823
71,Kei Nishikori,35,JPN,793
72,Cameron Norrie,29,GBR,784
73,Christopher O'Connell,30,AUS,780
74,Daniel Altmaier,26,GER,768
75,Quentin Halys,28,FRA,751
76,Joao Fonseca,18,BRA,750
77,Luca Nardi,21,ITA,749
78,Francisco Comesaña,24,ARG,748
79,Botic van de Zandschulp,29,NED,747
80,Jacob Fearnley,23,GBR,739
81,Rinky Hijikata,23,AUS,735
82,Learner Tien,19,USA,732
83,Thanasi Kokkinakis,28,AUS,703
84,Camilo Ugo Carabelli,25,ARG,697
85,Aleksandar Kovačević,26,USA,692
86,Thiago Seyboth Wild,24,BRA,682
87,Márton Fucsovics,33,HUN,666
88,Gabriel Diallo,23,CAN,665
89,Damir Džumhur,32,BIH,662
90,Francesco Passaro,24,ITA,658
91,Hugo Gaston,24,FRA,636
92,Fabio Fognini,37,ITA,629
93,James Duckworth,33,AUS,628
94,Jaime Faria,21,POR,624
95,Alexander Shevchenko,24,KAZ,618
96,Lucas Pouille,30,FRA,616
97,Adam Walton,25,AUS,616
98,Chun Hsin Tseng,23,TWN,605
99,Dušan Lajović,34,SRB,592
100,Arthur Cazaux,22,FRA,582
101,Hugo Dellien,31,BOL,572
102,Laslo Djere,29,SRB,571
103,Christopher Eubanks,28,USA,567
104,Jesper de Jong,24,NED,562
105,Nishesh Basavareddy,19,USA,562
106,Pavel Kotov,26,RUS,560
107,Thiago Monteiro,30,BRA,540
108,Yannick Hanfmann,33,GER,534
109,Otto Virtanen,23,FIN,527
110,Billy Harris,30,GBR,527
111,Pablo Carreño Busta,33,ESP,524
112,Tristan Boyer,23,USA,523
113,Reilly Opelka,27,USA,516
114,Dominik Koepfer,30,GER,508
115,Sebastian Ofner,28,AUT,508
116,Mackenzie McDonald,29,USA,505
117,Kamil Majchrzak,29,POL,504
118,Taro Daniel,32,JPN,501
119,Nicolas Moreno De Alboran,27,USA,501
120,Vít Kopřiva,27,CZE,491
121,Raphaël Collignon,23,BEL,491
122,Alexander Ritschard,30,SUI,480
123,Juan Manuel Cerúndolo,23,ARG,476
124,Jozef Kovalík,32,SVK,472
125,Daniel Elahi Galán,28,COL,468
126,Max Purcell,26,AUS,466
127,Adrian Mannarino,36,FRA,461
128,Thiago Agustín Tirante,23,ARG,461
129,Jérôme Kym,22,SUI,449
130,Facundo Díaz Acosta,24,ARG,448
131,Sumit Nagal,27,IND,448
132,Harold Mayot,23,FRA,448
133,Tristan Schoolkate,23,AUS,446
134,Román Andrés Burruchaga,23,ARG,442
135,Federico Agustin Gomez,28,ARG,442
136,Federico Coria,32,ARG,433
137,Martin Landaluce,19,ESP,429
138,Mitchell Krueger,31,USA,423
139,Mikhail Kukushkin,37,KAZ,420
140,Marco Trungelliti,35,ARG,417
141,Lloyd Harris,27,RSA,416
142,Ethan Quinn,20,USA,413
143,Borna Ćorić,28,CRO,410
144,Tomás Barrios Vera,27,CHI,407
145,Richard Gasquet,38,FRA,404
146,Cristian Garín,28,CHI,402
147,Alejandro Moro Cañas,24,ESP,391
148,Nikoloz Basilashvili,32,GEO,383
149,Lukáš Klein,26,SVK,381
150,Grégoire Barrère,31,FRA,381
151,Kyrian Jacquet,23,FRA,376
152,Alexander Blockx,19,BEL,375
153,Luca Van Assche,20,FRA,372
154,Elmer Møller,21,DEN,372
155,Brandon Holt,26,USA,366
156,Yasutaka Uchiyama,32,JPN,365
157,Terence Atmane,23,FRA,361
158,Ugo Blanchet,26,FRA,360
159,Henrique Rocha,20,POR,360
160,Gustavo Heide,22,BRA,359
161,Stan Wawrinka,39,SUI,349
162,Pierre Hugues Herbert,33,FRA,345
163,Duje Ajduković,24,CRO,345
164,Alexis Galarneau,25,CAN,345
165,Coleman Wong,20,HKG,343
166,Shintaro Mochizuki,21,JPN,340
167,Hady Habib,26,LBN,339
168,Constant Lestienne,32,FRA,336
169,Li Tu,28,AUS,336
170,Marc-Andrea Hüsler,28,SUI,334
171,Rafael Nadal,38,ESP,330
172,Carlos Taberner,27,ESP,330
173,Juan Pablo Ficovich,28,ARG,330
174,Henri Squire,24,GER,324
175,Daniel Evans,34,GBR,321
176,Liam Draxl,23,CAN,321
177,Radu Albot,35,MDA,319
178,Calvin Hémery,30,FRA,319
179,James Trotter,25,JPN,317
180,Yuta Shimizu,25,JPN,317
181,Timofey Skatov,24,KAZ,316
182,Valentin Royer,23,FRA,315
183,Vilius Gaubas,20,LTU,315
184,Zachary Svajda,22,USA,314
185,Facundo Mena,32,ARG,314
186,Marin Čilić,36,CRO,313
187,Juan Pablo Varillas,29,PER,312
188,Eliot Spizzirri,23,USA,311
189,Sho Shimabukuro,27,JPN,311
190,Titouan Droguet,23,FRA,310
191,Gijs Brouwer,28,NED,308
192,Alibek Kachmazov,22,RUS,308
193,Felipe Meligeni Alves,27,BRA,307
194,Alex Bolt,32,AUS,307
195,Jan Choinski,28,GBR,307
196,Hugo Grenier,28,FRA,306
197,Adolfo Daniel Vallejo,20,PAR,300
198,Maximilian Marterer,29,GER,296
199,Murkel Dellien,27,BOL,295
200,Matteo Gigante,23,ITA,293
201,August Holmgren,26,DEN,289
202,Mark Lajal,21,EST,282
203,Benjamin Hassan,30,GER,281
204,Andrea Collarini,33,ARG,280
205,Albert Ramos Viñolas,37,ESP,274
206,Dmitry Popko,28,KAZ,272
207,James McCabe,21,AUS,271
208,Dalibor Svrčina,22,CZE,271
209,Nicolás Mejía,25,COL,270
210,Aslan Karatsev,31,RUS,267
211,Lukas Neumayer,22,AUT,267
212,Aziz Dougaz,27,TUN,265
213,Seongchan Hong,27,KOR,265
214,Antoine Escoffier,32,FRA,265
215,Gauthier Onclin,23,BEL,264
216,Beibit Zhukayev,24,KAZ,262
217,Federico Arnaboldi,24,ITA,261
218,Paul Jubb,25,GBR,260
219,Jurij Rodionov,25,AUT,258
220,Bernard Tomic,32,AUS,256
221,Maks Kaśnikowski,21,POL,249
222,Yu-hsiou Hsu,25,TWN,246
223,Omar Jasika,27,AUS,246
224,Ignacio Buse,20,PER,245
225,Emil Ruusuvuori,25,FIN,244
226,Khumoyun Sultanov,26,UZB,243
227,Filip Jianu,23,ROU,242
228,Nick Hardt,24,DOM,240
229,Andrea Vavassori,29,ITA,239
230,Rio Noguchi,26,JPN,237
231,Adrian Andreev,23,BUL,236
232,Gabriel Debru,19,FRA,235
233,Tung Lin Wu,26,TWN,234
234,Edas Butvilas,20,LTU,234
235,Emilio Nava,23,USA,232
236,Arthur Bouquier,24,FRA,232
237,Andrés Andrade,26,ECU,232
238,J.J. Wolf,26,USA,231
239,Clément Chidekh,23,FRA,231
240,Gonzalo Oliveira,30,VEN,231
241,Matías Soto,25,CHI,230
242,Enzo Couacaud,29,FRA,229
243,Daniel Rincon,22,ESP,224
244,Sascha Gueymard Wayenburg,21,FRA,224
245,Filip Misolic,23,AUT,222
246,Javier Barranco Cosano,26,ESP,222
247,Marek Gengel,29,CZE,222
248,Stefano Napolitano,29,ITA,219
249,Max Hans Rehberg,21,GER,219
250,Oriol Roca Batalla,31,ESP,219
251,Murphy Cassone,22,USA,218
252,Pol Martín Tiffon,25,ESP,217
253,Andrea Pellegrino,27,ITA,216
254,Elias Ymer,28,SWE,215
255,Valentin Vacherot,26,MON,214
256,Yan Bai,35,CHN,213
257,Francesco Maestrelli,22,ITA,211
258,Denis Yevseyev,31,KAZ,210
259,Colton Smith,21,USA,209
260,Frederico Ferreira Silva,29,POR,208
261,Geoffrey Blancaneaux,26,FRA,206
262,Carlos Sánchez Jover,24,ESP,205
263,Mattéo Martineau,26,FRA,205
264,Chris Rodesch,23,LUX,203
265,Zsombor Piros,25,HUN,201
266,Viktor Durasovic,27,NOR,201
267,Abdullah Shelbayh,21,JOR,201
268,Robin Bertrand,21,FRA,201
269,Lorenzo Giustino,33,ITA,200
270,Gonzalo Bueno,20,PER,198
271,Marat Sharipov,22,RUS,197
272,Juan Bautista Torres,22,ARG,197
273,Pedro Cachín,29,ARG,196
274,Jay Clarke,26,GBR,196
275,Karue Sell,31,BRA,195
276,Álvaro Guillén Meza,22,ECU,195
277,Michael Mmoh,27,USA,194
278,Matej Dodig,19,CRO,194
279,Fajing Sun,28,CHN,192
280,Rudolf Molleker,24,GER,191
281,Stefano Travaglia,33,ITA,190
282,Aidan Mayo,21,USA,188
283,Mateus Alves,24,BRA,187
284,Johannus Monday,23,GBR,186
285,Ilia Simakin,21,RUS,185
286,Maxime Janvier,28,FRA,184
287,Manuel Guinard,29,FRA,184
288,Remy Bertola,26,SUI,184
289,Dominic Stricker,22,SUI,183
290,Arthur Géa,20,FRA,183
291,Jie Cui,27,CHN,181
292,Facundo Bagnis,34,ARG,180
293,Leandro Riedi,23,SUI,180
294,Juan Carlos Prado Angelo,19,BOL,180
295,Daniel Masur,30,GER,179
296,Enrico Dalla Valle,26,ITA,178
297,Mili Poljičak,20,CRO,177
298,Martin Kližan,35,SVK,176
299,Ričardas Berankis,34,LTU,175
300,Ergi Kırkın,26,TUR,175
301,Michael Geerts,30,BEL,174
302,Max Houkes,24,NED,173
303,Mathys Erhard,23,FRA,173
304,Blake Ellis,26,AUS,173
305,Charles Broom,26,GBR,172
306,Samuel Vincent Ruggeri,22,ITA,171
307,Oleksandr Ovcharenko,23,UKR,170
308,Santiago Taverna,25,ARG,170
309,Mika Brunold,20,SUI,169
310,Bernabé Zapata Miralles,28,ESP,166
311,Joel Schwärzler,19,AUT,166
312,Ivan Gakhov,28,RUS,166
313,Joris De Loore,31,BEL,164
314,Gianluca Mager,30,ITA,164
315,Oleg Prihodko,27,UKR,164
316,Jacopo Berrettini,26,ITA,164
317,Alexey Vatutin,32,RUS,164
318,Daniel Dutra da Silva,36,BRA,163
319,Christoph Negritu,30,GER,162
320,Nicolás Álvarez Varona,23,ESP,162
321,Daniel Mérida,20,ESP,162
322,Corentin Denolly,27,FRA,162
323,Benjamin Lock,31,ZIM,161
324,Philip Henning,24,RSA,160
325,Philip Sekulic,21,AUS,160
326,Maxime Cressy,27,USA,159
327,Maxime Chazal,31,FRA,158
328,Genaro Alberto Olivieri,26,ARG,158
329,Sandro Kopp,24,AUT,157
330,Cezar Crețu,23,ROU,157
331,Kimmer Coppejans,31,BEL,156
332,Masamichi Imamura,26,JPN,155
333,Jelle Sels,29,NED,154
334,Christian Langmo,28,USA,154
335,Guy Den Ouden,22,NED,153
336,Daniel Michalski,25,POL,152
337,Mats Rosenkranz,26,GER,151
338,Pedro Sakamoto,31,BRA,151
339,Clément Tabur,25,FRA,150
340,Jakub Paul,25,SUI,150
341,Diego Schwartzman,32,ARG,149
342,Eliakim Coulibaly,22,CIV,149
343,Alex Martí Pujolras,26,ESP,149
344,Nikolás Sánchez Izquierdo,25,ESP,146
345,Yosuke Watanuki,26,JPN,144
346,Justin Engel,17,GER,144
347,Jiří Veselý,31,CZE,144
348,Adria Soriano Barrera,25,COL,144
349,Patrick Kypson,25,USA,143
350,Lautaro Midon,20,ARG,143
351,Andrea Picchione,26,ITA,143
352,Toby Kodat,22,USA,143
353,Jack Pinnington Jones,21,GBR,142
354,Rodrigo Pacheco Mendez,19,MEX,142
355,Naoki Nakagawa,28,JPN,141
356,Matheus Pucinelli De Almeida,23,BRA,141
357,Denis Kudla,32,USA,140
358,Stefan Kozlov,27,USA,140
359,Giulio Zeppieri,23,ITA,138
360,Dimitar Kuzmanov,31,BUL,138
361,Kris Van Wyk,28,RSA,138
362,Luka Pavlovic,24,FRA,137
363,Renzo Olivo,32,ARG,137
364,Marc Polmans,27,AUS,136
365,Kaichi Uchida,30,JPN,136
366,Gastão Elias,34,POR,136
367,Nicholas David Ionel,22,ROU,136
368,Soonwoo Kwon,27,KOR,135
369,Dennis Novak,31,AUT,135
370,Rei Sakamoto,18,JPN,134
371,Giles Hussey,27,GBR,134
372,Franco Roncadelli,25,URU,134
373,Yi Zhou,19,CHN,133
374,Gabi Adrian Boitan,25,ROU,133
375,Jakub Nicod,20,CZE,132
376,Luciano Emanuel Ambrogi,21,ARG,131
377,Milos Raonic,34,CAN,130
378,Michael Vrbenský,25,CZE,129
379,Alexey Zakharov,24,RUS,128
380,Andre Ilagan,24,USA,128
381,Matthew Dellavedova,24,AUS,127
382,Pablo Llamas Ruiz,22,ESP,126
383,Zdeněk Kolář,28,CZE,126
384,Evgeny Karlovskiy,30,RUS,126
385,Luka Mikrut,20,CRO,126
386,Vitaliy Sachko,27,UKR,125
387,Oliver Crawford,25,GBR,125
388,Franco Agamenone,31,ITA,124
389,Gerard Campana Lee,20,KOR,123
390,Egor Gerasimov,32,BLR,121
391,Nicola Kuhn,24,GER,121
392,Dino Prižmić,19,CRO,121
393,Petr Bar Biryukov,22,RUS,121
394,Giovanni Fonio,26,ITA,121
395,Alejo Lorenzo Lingua Lavallén,23,ARG,120
396,Lilian Marmousez,23,FRA,120
397,Marko Topo,21,GER,120
398,Ryan Nijboer,25,NED,119
399,Moerani Bouzige,25,AUS,119
400,Norbert Gombos,34,SVK,118
401,Hynek Bartoň,20,CZE,118
402,Robert Strombachs,25,LAT,118
403,Patrick Zahraj,25,GER,118
404,Ryan Seggerman,25,USA,117
405,Anton Matusevich,23,GBR,116
406,Hiroki Moriya,34,JPN,116
407,Henry Searle,18,GBR,115
408,Vadym Ursu,28,UKR,115
409,Guido Iván Justo,27,ARG,115
410,Pedro Araújo,22,POR,114
411,Yibing Wu,25,CHN,113
412,Evgenii Tiurnev,27,RUS,113
413,Max Alcalá Gurri,22,ESP,113
414,Tyler Zink,24,USA,112
415,Saba Purtseladze,23,GEO,112
416,Gabriele Piraino,21,ITA,112
417,Borna Gojo,26,CRO,111
418,Alastair Gray,26,GBR,111
419,Micah Braswell,23,USA,111
420,Gabriele Pennaforti,24,ITA,111
421,David Jordá Sanchis,30,ESP,110
422,João Lucas Reis Da Silva,24,BRA,110
423,Govind Nanda,24,USA,109
424,Kasidit Samrej,24,THA,109
425,Marco Cecchinato,32,ITA,109
426,Miloš Karol,22,SVK,109
427,Andrej Martin,35,SVK,108
428,Miguel Damas,25,ESP,108
429,Lucas Poullain,29,FRA,108
430,Nicolai Budkov Kjaer,18,NOR,107
431,Garrett Johns,24,USA,107
432,Hernán Casanova,31,ARG,106
433,Tommaso Compagnucci,25,ITA,106
434,Lukáš Pokorný,22,SVK,106
435,Nerman Fatić,30,BIH,105
436,Petr Nesterov,21,BUL,105
437,Gonzalo Villanueva,30,ARG,105
438,Raúl Brancaccio,27,ITA,104
439,Stefan Popović,21,SRB,103
440,Neil Oberleitner,25,AUT,102
441,Valerio Aboian,22,ARG,102
442,Ryan Peniston,29,GBR,101
443,Lucas Gerch,30,GER,101
444,Jules Marie,33,FRA,101
445,Patrick Maloney,25,USA,99
446,Ramkumar Ramanathan,30,IND,97
447,Ernesto Escobedo,28,MEX,97
448,Mukund Sasikumar,28,IND,97
449,Gianluca Cadenasso,20,ITA,96
450,Michiel De Krom,26,NED,96
451,Bor Artnak,20,SLO,94
452,Roberto Cid Subervi,31,DOM,94
453,Kokoro Isomura,22,JPN,94
454,Alexander Weis,27,ITA,94
455,Tom Paris,22,FRA,93
456,Arthur Fery,22,GBR,93
457,Laurent Lokoli,30,FRA,93
458,Dan Alexandru Tomescu,25,ROU,93
459,Daniil Glinka,24,EST,92
460,Alessandro Pecci,23,ITA,91
461,Lorenzo Joaquín Rodríguez,25,ARG,91
462,Michael Agwi,21,IRL,90
463,Orlando Luz,27,BRA,90
464,Carlos Lopez Montagud,24,ESP,90
465,Peter Bertran,28,DOM,89
466,Pedro Boscardin Dias,22,BRA,89
467,Tomás Farjat,24,ARG,88
468,Aidan McHugh,24,GBR,88
469,Svyatoslav Gulin,22,RUS,88
470,Federico Iannaccone,25,ITA,88
471,Altuğ Çelikbilek,28,TUR,87
472,Tom Gentzsch,21,GER,87
473,Jake Delaney,27,AUS,87
474,Jonáš Forejtek,23,CZE,86
475,Duarte Vale,26,POR,86
476,Blake Mott,28,AUS,86
477,Egor Agafonov,22,RUS,86
478,George Loffhagen,23,GBR,85
479,Kyle Edmund,30,GBR,85
480,Moez Echargui,32,TUN,85
481,Aleksandre Bakshi,27,GEO,85
482,Ajeet Rai,26,NZL,85
483,Lucas Bouquet,27,FRA,85
484,Juan Carlos Aguilar,26,CAN,84
485,Mohamed Safwat,34,EGY,84
486,Pawel Juszczak,30,POL,84
487,Kiranpal Pannu,28,NZL,84
488,Stefanos Sakellaridis,20,GRE,84
489,Alafia Ayeni,25,USA,83
490,Florent Bax,25,FRA,83
491,Stefan Dostanic,23,USA,82
492,Mariano Kestelboim,29,ARG,82
493,Max Wiskandt,23,GER,82
